image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9781509868087,Dictionaries-Languages,dataset/Dictionaries-Languages/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2053/9780205309023.jpg,The Elements of Style,William I. Strunk,Paperback,4.0,8.09,$,9.95,9780205309023,Dictionaries-Languages,dataset/Dictionaries-Languages/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6924/9780692452745.jpg,Create This Book,Moriah Elizabeth,Paperback,4.5,17.05,$,,9780692452745,Dictionaries-Languages,dataset/Dictionaries-Languages/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007204496.jpg,Fear and Loathing in Las Vegas,Hunter S. Thompson,Paperback,4.0,8.3,$,11.49,9780007204496,Dictionaries-Languages,dataset/Dictionaries-Languages/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4338/9781433805615.jpg,Publication Manual of the American Psychological Association,American Psychological Association,Paperback,3.5,30.49,$,,9781433805615,Dictionaries-Languages,dataset/Dictionaries-Languages/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781704.jpg,The Etymologicon,Mark Forsyth,Paperback,4.0,5.71,$,11.4,9781785781704,Dictionaries-Languages,dataset/Dictionaries-Languages/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4.0,12.61,$,21.1,9781509829477,Dictionaries-Languages,dataset/Dictionaries-Languages/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781728.jpg,The Elements of Eloquence,Mark Forsyth,Paperback,4.5,4.91,$,11.4,9781785781728,Dictionaries-Languages,dataset/Dictionaries-Languages/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8431/9781843176572.jpg,My Grammar and I (Or Should That Be 'Me'?),Caroline Taggart,Paperback,4.0,3.95,$,8.8,9781843176572,Dictionaries-Languages,dataset/Dictionaries-Languages/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3854/9780385480017.jpg,Bird By Bird,Anne Lamott,Paperback,4.0,12.23,$,15.05,9780385480017,Dictionaries-Languages,dataset/Dictionaries-Languages/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007329069.jpg,"Eats, Shoots and Leaves",Lynne Truss,Paperback,4.0,8.58,$,11.4,9780007329069,Dictionaries-Languages,dataset/Dictionaries-Languages/0000011.jpg
