image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4.0,8.2,$,13.9,9780340733509,Health,dataset/Health/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9781439199190,Health,dataset/Health/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9780099511021,Health,dataset/Health/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Health,dataset/Health/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,$,13.9,9781845298258,Health,dataset/Health/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9781408878729,Health,dataset/Health/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9780141978611,Health,dataset/Health/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718154776.jpg,Jamie's 30-Minute Meals,Jamie Oliver,Hardback,4.0,27.39,$,31.5,9780718154776,Health,dataset/Health/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141983769.jpg,Why We Sleep,Matthew Walker,Paperback,4.5,9.93,$,12.4,9780141983769,Health,dataset/Health/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723624.jpg,The Fast 800,Michael Mosley,Paperback,4.0,9.09,$,11.5,9781780723624,Health,dataset/Health/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5533/9780553386691.jpg,The Whole-Brain Child,Daniel J Siegel,Paperback,4.0,12.71,$,21.1,9780553386691,Health,dataset/Health/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157807.jpg,Jamie's 15-Minute Meals,Jamie Oliver,Hardback,4.0,27.3,$,31.5,9780718157807,Health,dataset/Health/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8024/9780802412706.jpg,Five Love Languages Revised Edition,Gary Chapman,Paperback,4.0,11.61,$,15.0,9780802412706,Health,dataset/Health/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8567/9781856753531.jpg,The Little Book of Mindfulness,Dr. Patrizia Collard,Paperback,4.0,5.88,$,8.8,9781856753531,Health,dataset/Health/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780722405.jpg,The 8-week Blood Sugar Diet,Michael Mosley,Paperback,4.0,8.85,$,11.3,9781780722405,Health,dataset/Health/0000015.jpg
