image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9781509858637,Humour,dataset/Humour/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444775815.jpg,A Man Called Ove,Fredrik Backman,Paperback,4.5,9.56,$,11.4,9781444775815,Humour,dataset/Humour/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473635302.jpg,Born A Crime,Trevor Noah,Paperback,4.5,8.3,$,12.4,9781473635302,Humour,dataset/Humour/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141976143.jpg,Wreck This Journal,Keri Smith,Paperback,4.0,9.59,$,12.9,9780141976143,Humour,dataset/Humour/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7842/9781784298463.jpg,The Life-Changing Magic of Not Giving a F**k,Sarah Knight,Hardback,3.5,11.11,$,18.0,9781784298463,Humour,dataset/Humour/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8485/9781848549562.jpg,What If?,Randall Munroe,Paperback,4.0,10.62,$,12.4,9781848549562,Humour,dataset/Humour/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8473/9781847399304.jpg,The Bro Code,Barney Stinson,Paperback,3.5,7.52,$,10.3,9781847399304,Humour,dataset/Humour/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8578/9780857862655.jpg,Go the F**k to Sleep,Adam Mansbach,Hardback,4.5,10.38,$,13.9,9780857862655,Humour,dataset/Humour/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8495/9781849534970.jpg,52 Things to Do While You Poo,Hugh Jassburn,Hardback,3.5,7.93,$,8.8,9781849534970,Humour,dataset/Humour/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241982105.jpg,Everything I Know About Love,Dolly Alderton,Paperback,4.0,9.11,$,13.0,9780241982105,Humour,dataset/Humour/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4012/9781401216672.jpg,"Batman The Killing Joke, Deluxe Edition",Alan Moore,Hardback,4.5,14.18,$,18.0,9781401216672,Humour,dataset/Humour/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718184216.jpg,How It Works: The Mum,Jason Hazeley,Hardback,4.0,7.84,$,10.3,9780718184216,Humour,dataset/Humour/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449474195.jpg,Adulthood Is a Myth,Sarah Andersen,Paperback,4.0,9.02,$,15.0,9781449474195,Humour,dataset/Humour/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718183561.jpg,How it Works: The Husband,Jason Hazeley,Hardback,4.0,7.83,$,10.3,9780718183561,Humour,dataset/Humour/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473620919.jpg,Thing Explainer,Randall Munroe,Hardback,4.0,16.86,$,21.5,9781473620919,Humour,dataset/Humour/0000015.jpg
