image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7303/9780730324218.jpg,The Barefoot Investor,Scott Pape,Paperback,4.5,14.06,$,17.6,9780730324218,Personal-Development,dataset/Personal-Development/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4.0,8.2,$,13.9,9780340733509,Personal-Development,dataset/Personal-Development/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0624/9780062457714.jpg,The Subtle Art of Not Giving a F*ck,Mark Manson,Hardback,4.0,15.8,$,25.2,9780062457714,Personal-Development,dataset/Personal-Development/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9781439199190,Personal-Development,dataset/Personal-Development/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,$,15.0,9780141033570,Personal-Development,dataset/Personal-Development/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4.0,8.9,$,12.4,9780241958223,Personal-Development,dataset/Personal-Development/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,$,13.9,9781845298258,Personal-Development,dataset/Personal-Development/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0626/9780062641540.jpg,The Subtle Art of Not Giving a F*ck,Mark Manson,Paperback,4.0,14.15,$,18.0,9780062641540,Personal-Development,dataset/Personal-Development/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9781408878729,Personal-Development,dataset/Personal-Development/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5928/9781592858491.jpg,"Gifts Of Imperfection, The:",Brene Brown,Paperback,4.0,11.8,$,14.9,9781592858491,Personal-Development,dataset/Personal-Development/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Personal-Development,dataset/Personal-Development/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4.0,13.55,$,21.6,9781607747307,Personal-Development,dataset/Personal-Development/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9780141978611,Personal-Development,dataset/Personal-Development/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241257401.jpg,Daring Greatly,Brene Brown,Paperback,4.5,9.6,$,12.4,9780241257401,Personal-Development,dataset/Personal-Development/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0605/9780060555665.jpg,The Intelligent Investor,Benjamin Graham,Paperback,4.0,15.99,$,25.2,9780060555665,Personal-Development,dataset/Personal-Development/0000015.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8784/9781878424310.jpg,The Four Agreements,Don Miguel Ruiz,Paperback,4.0,9.45,$,13.9,9781878424310,Personal-Development,dataset/Personal-Development/0000016.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,$,14.8,9780330523622,Personal-Development,dataset/Personal-Development/0000017.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785042140.jpg,Dare to Lead,Brene Brown,Paperback,4.0,13.09,$,16.0,9781785042140,Personal-Development,dataset/Personal-Development/0000018.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8567/9781856753531.jpg,The Little Book of Mindfulness,Dr. Patrizia Collard,Paperback,4.0,5.88,$,8.8,9781856753531,Personal-Development,dataset/Personal-Development/0000019.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141029191.jpg,Quiet,Susan Cain,Paperback,4.0,9.79,$,12.4,9780141029191,Personal-Development,dataset/Personal-Development/0000020.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472139955.jpg,Mindset - Updated Edition,Carol Dweck,Paperback,4.0,8.6,$,13.9,9781472139955,Personal-Development,dataset/Personal-Development/0000021.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091929114.jpg,The 4-Hour Work Week,Timothy Ferriss,Paperback,4.0,14.32,$,16.0,9780091929114,Personal-Development,dataset/Personal-Development/0000022.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9780241283912,Personal-Development,dataset/Personal-Development/0000023.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8473/9781847370297.jpg,The Secret,Rhonda Byrne,Hardback,3.5,15.02,$,18.0,9781847370297,Personal-Development,dataset/Personal-Development/0000024.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6126/9781612680194.jpg,Rich Dad Poor Dad,Robert T. Kiyosaki,Paperback,4.0,7.34,$,,9781612680194,Personal-Development,dataset/Personal-Development/0000025.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847941831.jpg,Atomic Habits,James Clear,Paperback,4.5,15.49,$,18.0,9781847941831,Personal-Development,dataset/Personal-Development/0000026.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0612/9780061241895.jpg,influence,Robert B. Cialdini,Paperback,4.0,11.38,$,19.1,9780061241895,Personal-Development,dataset/Personal-Development/0000027.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039411.jpg,A New Earth,Eckhart Tolle,Paperback,4.0,9.72,$,11.4,9780141039411,Personal-Development,dataset/Personal-Development/0000028.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351642.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,18.31,$,,9780241351642,Personal-Development,dataset/Personal-Development/0000029.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4165/9781416502494.jpg,7 Habits Of Highly Effective People,Stephen R. Covey,Paperback,4.0,9.04,$,11.4,9781416502494,Personal-Development,dataset/Personal-Development/0000030.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091955106.jpg,The Life-Changing Magic of Tidying,Marie Kondo,Paperback,4.0,12.41,$,16.0,9780091955106,Personal-Development,dataset/Personal-Development/0000031.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965601.jpg,Dungeons & Dragons Player's Handbook (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,31.94,$,48.4,9780786965601,Personal-Development,dataset/Personal-Development/0000032.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447277668.jpg,What I Know for Sure,Oprah Winfrey,Hardback,4.0,11.1,$,20.1,9781447277668,Personal-Development,dataset/Personal-Development/0000033.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846045127.jpg,The Choice,Edith Eger,Paperback,4.5,9.37,$,11.5,9781846045127,Personal-Development,dataset/Personal-Development/0000034.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5011/9781501124020.jpg,Principles,Ray Dalio,Hardback,4.0,18.34,$,30.4,9781501124020,Personal-Development,dataset/Personal-Development/0000035.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.8,$,10.5,9780752265629,Personal-Development,dataset/Personal-Development/0000036.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4522/9780452272040.jpg,Reinventing Your Life,Jeffrey E. Young,Paperback,4.0,13.78,$,25.95,9780452272040,Personal-Development,dataset/Personal-Development/0000037.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5445/9781544512273.jpg,Can't Hurt Me,David Goggins,Paperback,4.5,19.37,$,,9781544512273,Personal-Development,dataset/Personal-Development/0000038.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8479/9781847946249.jpg,The Power of Habit,Charles Duhigg,Paperback,4.0,10.41,$,12.4,9781847946249,Personal-Development,dataset/Personal-Development/0000039.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7812/9781781257654.jpg,The Daily Stoic,Ryan Holiday,Paperback,4.5,10.61,$,13.9,9781781257654,Personal-Development,dataset/Personal-Development/0000040.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749953089.jpg,Mindfulness,J. Mark G. Williams,Paperback,4.0,12.72,$,18.0,9780749953089,Personal-Development,dataset/Personal-Development/0000041.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8441/9781844132393.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,7.85,$,9.5,9781844132393,Personal-Development,dataset/Personal-Development/0000042.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351635.jpg,12 Rules for Life,Jordan B. Peterson,Hardback,4.0,20.99,$,25.2,9780241351635,Personal-Development,dataset/Personal-Development/0000043.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0613/9780061339202.jpg,Flow,Mihaly Csikszentmihalyi,Paperback,4.0,13.72,$,,9780061339202,Personal-Development,dataset/Personal-Development/0000044.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7842/9781784298463.jpg,The Life-Changing Magic of Not Giving a F**k,Sarah Knight,Hardback,3.5,11.11,$,18.0,9781784298463,Personal-Development,dataset/Personal-Development/0000045.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473649521.jpg,You Are a Badass,Jen Sincero,Paperback,4.0,7.7,$,12.4,9781473649521,Personal-Development,dataset/Personal-Development/0000046.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472103536.jpg,Legacy,James Kerr,Paperback,4.0,9.7,$,16.0,9781472103536,Personal-Development,dataset/Personal-Development/0000047.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141988511.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,10.26,$,12.9,9780141988511,Personal-Development,dataset/Personal-Development/0000048.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5956/9781595620156.jpg,StrengthsFinder 2.0,Tom Rath,Hardback,4.0,17.97,$,22.99,9781595620156,Personal-Development,dataset/Personal-Development/0000049.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0918/9780091816971.jpg,Who Moved My Cheese,Spencer Johnson,Paperback,4.0,6.15,$,8.8,9780091816971,Personal-Development,dataset/Personal-Development/0000050.jpg
